id,q1,a1,q2,a2,q3,a3,q4,a4,q5,a5,q6,a6,q7,a7,q8,a8,q9,a9
10,Device,コンピュータ（Windows）,Nationality,China,Submission by date,1,Interest in English,5,Interest in computers and the internet,5.0,Proficiency in Excel,5,Interest in the world news,5,Interest in pop music,4,Interest in movies,5
11,Device,スマートフォン（iPhone）,Nationality,Nepal,Submission by date,4,Interest in English,5,Interest in computers and the internet,5.0,Proficiency in Excel,5,Interest in the world news,5,Interest in pop music,5,Interest in movies,5
12,Device,コンピュータ（Mac）,Nationality,Nepal,Submission by date,5,Interest in English,5,Interest in computers and the internet,5.0,Proficiency in Excel,5,Interest in the world news,5,Interest in pop music,5,Interest in movies,5
13,Device,コンピュータ（Windows）,Nationality,Nepal,Submission by date,5,Interest in English,5,Interest in computers and the internet,5.0,Proficiency in Excel,5,Interest in the world news,4,Interest in pop music,5,Interest in movies,5
14,Device,スマートフォン（iPhone）,Nationality,Nepal,Submission by date,5,Interest in English,5,Interest in computers and the internet,5.0,Proficiency in Excel,2,Interest in the world news,5,Interest in pop music,5,Interest in movies,5
15,Device,スマートフォン（iPhone）,Nationality,Nepal,Submission by date,5,Interest in English,5,Interest in computers and the internet,5.0,Proficiency in Excel,5,Interest in the world news,4,Interest in pop music,5,Interest in movies,5
16,Device,スマートフォン（iPhone）,Nationality,Nepal,Submission by date,5,Interest in English,5,Interest in computers and the internet,,Proficiency in Excel,5,Interest in the world news,5,Interest in pop music,5,Interest in movies,1
17,Device,スマートフォン（iPhone）,Nationality,Nepal,Submission by date,5,Interest in English,5,Interest in computers and the internet,5.0,Proficiency in Excel,3,Interest in the world news,5,Interest in pop music,5,Interest in movies,5
18,Device,コンピュータ（Mac）,Nationality,Japan,Submission by date,3,Interest in English,4,Interest in computers and the internet,4.0,Proficiency in Excel,1,Interest in the world news,5,Interest in pop music,4,Interest in movies,5
19,Device,コンピュータ（Windows）,Nationality,Japan,Submission by date,5,Interest in English,5,Interest in computers and the internet,5.0,Proficiency in Excel,2,Interest in the world news,5,Interest in pop music,3,Interest in movies,5
20,Device,コンピュータ（Windows）,Nationality,Japan,Submission by date,4,Interest in English,3,Interest in computers and the internet,4.0,Proficiency in Excel,2,Interest in the world news,4,Interest in pop music,3,Interest in movies,3
21,Device,タブレット（iPad）,Nationality,Taiwan,Submission by date,5,Interest in English,4,Interest in computers and the internet,4.0,Proficiency in Excel,2,Interest in the world news,5,Interest in pop music,2,Interest in movies,3
22,Device,タブレット（Android）,Nationality,Nepal,Submission by date,5,Interest in English,5,Interest in computers and the internet,5.0,Proficiency in Excel,5,Interest in the world news,5,Interest in pop music,5,Interest in movies,5
23,Device,スマートフォン（iPhone）,Nationality,Nepal,Submission by date,5,Interest in English,5,Interest in computers and the internet,5.0,Proficiency in Excel,5,Interest in the world news,5,Interest in pop music,4,Interest in movies,4
24,Device,スマートフォン（iPhone）,Nationality,Japan,Submission by date,3,Interest in English,5,Interest in computers and the internet,5.0,Proficiency in Excel,2,Interest in the world news,4,Interest in pop music,5,Interest in movies,5
25,Device,コンピュータ（Windows）,Nationality,Vietnam,Submission by date,5,Interest in English,5,Interest in computers and the internet,5.0,Proficiency in Excel,5,Interest in the world news,5,Interest in pop music,4,Interest in movies,5
26,Device,コンピュータ（Mac）,Nationality,Nepal,Submission by date,5,Interest in English,5,Interest in computers and the internet,5.0,Proficiency in Excel,2,Interest in the world news,5,Interest in pop music,5,Interest in movies,4
27,Device,コンピュータ（Windows）,Nationality,Japan,Submission by date,5,Interest in English,4,Interest in computers and the internet,5.0,Proficiency in Excel,3,Interest in the world news,5,Interest in pop music,3,Interest in movies,4
28,Device,スマートフォン（iPhone）,Nationality,Nepal,Submission by date,5,Interest in English,5,Interest in computers and the internet,5.0,Proficiency in Excel,2,Interest in the world news,5,Interest in pop music,4,Interest in movies,5
29,Device,コンピュータ（Mac）,Nationality,Japan,Submission by date,4,Interest in English,4,Interest in computers and the internet,5.0,Proficiency in Excel,2,Interest in the world news,4,Interest in pop music,2,Interest in movies,3
30,Device,スマートフォン（iPhone）,Nationality,Japan,Submission by date,4,Interest in English,5,Interest in computers and the internet,5.0,Proficiency in Excel,3,Interest in the world news,5,Interest in pop music,5,Interest in movies,5
31,Device,コンピュータ（Windows）,Nationality,Nepal,Submission by date,5,Interest in English,5,Interest in computers and the internet,5.0,Proficiency in Excel,5,Interest in the world news,5,Interest in pop music,5,Interest in movies,5
32,Device,スマートフォン（iPhone）,Nationality,Japan,Submission by date,5,Interest in English,5,Interest in computers and the internet,4.0,Proficiency in Excel,3,Interest in the world news,5,Interest in pop music,4,Interest in movies,5
33,Device,コンピュータ（Windows）,Nationality,Nepal,Submission by date,5,Interest in English,5,Interest in computers and the internet,5.0,Proficiency in Excel,5,Interest in the world news,5,Interest in pop music,2,Interest in movies,3
34,Device,スマートフォン（iPhone）,Nationality,Japan,Submission by date,4,Interest in English,5,Interest in computers and the internet,5.0,Proficiency in Excel,2,Interest in the world news,4,Interest in pop music,5,Interest in movies,3
35,Device,スマートフォン（Android）,Nationality,Japan,Submission by date,5,Interest in English,4,Interest in computers and the internet,5.0,Proficiency in Excel,2,Interest in the world news,3,Interest in pop music,1,Interest in movies,1
36,Device,スマートフォン（iPhone）,Nationality,Japan,Submission by date,5,Interest in English,4,Interest in computers and the internet,4.0,Proficiency in Excel,3,Interest in the world news,4,Interest in pop music,4,Interest in movies,4
37,Device,スマートフォン（iPhone）,Nationality,Nepal,Submission by date,5,Interest in English,5,Interest in computers and the internet,5.0,Proficiency in Excel,5,Interest in the world news,5,Interest in pop music,5,Interest in movies,5
38,Device,タブレット（Windows）,Nationality,Nepal,Submission by date,5,Interest in English,5,Interest in computers and the internet,5.0,Proficiency in Excel,5,Interest in the world news,5,Interest in pop music,3,Interest in movies,3
39,Device,コンピュータ（Windows）,Nationality,China,Submission by date,5,Interest in English,5,Interest in computers and the internet,5.0,Proficiency in Excel,5,Interest in the world news,5,Interest in pop music,4,Interest in movies,5
40,Device,スマートフォン（iPhone）,Nationality,Japan,Submission by date,5,Interest in English,3,Interest in computers and the internet,4.0,Proficiency in Excel,3,Interest in the world news,5,Interest in pop music,2,Interest in movies,5
41,Device,スマートフォン（iPhone）,Nationality,Japan,Submission by date,5,Interest in English,4,Interest in computers and the internet,5.0,Proficiency in Excel,2,Interest in the world news,4,Interest in pop music,4,Interest in movies,3
42,Device,コンピュータ（Windows）,Nationality,Japan,Submission by date,3,Interest in English,4,Interest in computers and the internet,4.0,Proficiency in Excel,2,Interest in the world news,3,Interest in pop music,2,Interest in movies,4
43,Device,スマートフォン（iPhone）,Nationality,Nepal,Submission by date,5,Interest in English,4,Interest in computers and the internet,5.0,Proficiency in Excel,5,Interest in the world news,5,Interest in pop music,4,Interest in movies,5
44,Device,コンピュータ（Mac）,Nationality,Vietnam,Submission by date,5,Interest in English,5,Interest in computers and the internet,5.0,Proficiency in Excel,5,Interest in the world news,5,Interest in pop music,5,Interest in movies,5
45,Device,コンピュータ（Windows）,Nationality,Japan,Submission by date,5,Interest in English,5,Interest in computers and the internet,5.0,Proficiency in Excel,5,Interest in the world news,5,Interest in pop music,3,Interest in movies,4
46,Device,スマートフォン（iPhone）,Nationality,Nepal,Submission by date,5,Interest in English,5,Interest in computers and the internet,5.0,Proficiency in Excel,5,Interest in the world news,5,Interest in pop music,5,Interest in movies,5
47,Device,コンピュータ（Mac）,Nationality,Nepal,Submission by date,5,Interest in English,5,Interest in computers and the internet,5.0,Proficiency in Excel,3,Interest in the world news,5,Interest in pop music,2,Interest in movies,5
48,Device,コンピュータ（Windows）,Nationality,Korea,Submission by date,5,Interest in English,5,Interest in computers and the internet,5.0,Proficiency in Excel,5,Interest in the world news,2,Interest in pop music,1,Interest in movies,5
49,Device,コンピュータ（Windows）,Nationality,Nepal,Submission by date,5,Interest in English,5,Interest in computers and the internet,5.0,Proficiency in Excel,5,Interest in the world news,5,Interest in pop music,5,Interest in movies,5
50,Device,コンピュータ（Windows）,Nationality,Japan,Submission by date,2,Interest in English,5,Interest in computers and the internet,5.0,Proficiency in Excel,5,Interest in the world news,5,Interest in pop music,3,Interest in movies,5
51,Device,スマートフォン（iPhone）,Nationality,Nepal,Submission by date,5,Interest in English,5,Interest in computers and the internet,5.0,Proficiency in Excel,5,Interest in the world news,4,Interest in pop music,4,Interest in movies,4
52,Device,コンピュータ（Linux）,Nationality,Japan,Submission by date,3,Interest in English,5,Interest in computers and the internet,3.0,Proficiency in Excel,3,Interest in the world news,4,Interest in pop music,2,Interest in movies,4
