id,q1,a1,q2,a2,q3,a3,q4,a4,q5,a5,q6,a6,q7,a7,q8,a8,q9,a9
12,Device,コンピュータ（Mac）,Nationality,Nepal,Submission by date,そう思う,Interest in English,そう思う,Interest in computers and the internet,そう思う,Proficiency in Excel,そう思う。,Interest in the world news,そう思う,Interest in pop music,そう思う,Interest in movies,そう思う
13,Device,コンピュータ（Windows）,Nationality,Nepal,Submission by date,そう思う,Interest in English,そう思う,Interest in computers and the internet,そう思う,Proficiency in Excel,そう思う。,Interest in the world news,どちらかというとそう思う,Interest in pop music,そう思う,Interest in movies,そう思う
14,Device,スマートフォン（iPhone）,Nationality,Nepal,Submission by date,そう思う,Interest in English,そう思う,Interest in computers and the internet,そう思う,Proficiency in Excel,どちらかというとそう思う。,Interest in the world news,そう思う,Interest in pop music,そう思う,Interest in movies,そう思う
15,Device,スマートフォン（iPhone）,Nationality,Nepal,Submission by date,そう思う,Interest in English,そう思う,Interest in computers and the internet,そう思う,Proficiency in Excel,そう思う。,Interest in the world news,どちらかというとそう思う,Interest in pop music,そう思う,Interest in movies,そう思う
16,Device,スマートフォン（iPhone）,Nationality,Nepal,Submission by date,そう思う,Interest in English,そう思う,Interest in computers and the internet,-,Proficiency in Excel,そう思う。,Interest in the world news,そう思う,Interest in pop music,そう思う,Interest in movies,そう思わない
17,Device,スマートフォン（iPhone）,Nationality,Nepal,Submission by date,そう思う,Interest in English,そう思う,Interest in computers and the internet,そう思う,Proficiency in Excel,どちらとも言えない。,Interest in the world news,そう思う,Interest in pop music,そう思う,Interest in movies,そう思う
18,Device,コンピュータ（Mac）,Nationality,Japan,Submission by date,どちらともいえない,Interest in English,どちらかというとそう思う,Interest in computers and the internet,どちらかというとそう思う,Proficiency in Excel,そう思わない。,Interest in the world news,そう思う,Interest in pop music,どちらかというとそう思う,Interest in movies,そう思う
19,Device,コンピュータ（Windows）,Nationality,Japan,Submission by date,そう思う,Interest in English,そう思う,Interest in computers and the internet,そう思う,Proficiency in Excel,どちらかというとそう思う。,Interest in the world news,そう思う,Interest in pop music,どちらともいえない,Interest in movies,そう思う
20,Device,コンピュータ（Windows）,Nationality,Japan,Submission by date,どちらかというとそう思う,Interest in English,どちらともいえない,Interest in computers and the internet,どちらかというとそう思う,Proficiency in Excel,どちらかというとそう思う。,Interest in the world news,どちらかというとそう思う,Interest in pop music,どちらともいえない,Interest in movies,どちらともいえない
21,Device,タブレット（iPad）,Nationality,Taiwan,Submission by date,そう思う,Interest in English,どちらかというとそう思う,Interest in computers and the internet,どちらかというとそう思う,Proficiency in Excel,どちらかというとそう思う。,Interest in the world news,そう思う,Interest in pop music,どちらかというとそう思わない,Interest in movies,どちらともいえない
22,Device,タブレット（Android）,Nationality,Nepal,Submission by date,そう思う,Interest in English,そう思う,Interest in computers and the internet,そう思う,Proficiency in Excel,そう思う。,Interest in the world news,そう思う,Interest in pop music,そう思う,Interest in movies,そう思う
23,Device,スマートフォン（iPhone）,Nationality,Nepal,Submission by date,そう思う,Interest in English,そう思う,Interest in computers and the internet,そう思う,Proficiency in Excel,そう思う。,Interest in the world news,そう思う,Interest in pop music,どちらかというとそう思う,Interest in movies,どちらかというとそう思う
24,Device,スマートフォン（iPhone）,Nationality,Japan,Submission by date,どちらともいえない,Interest in English,そう思う,Interest in computers and the internet,そう思う,Proficiency in Excel,どちらかというとそう思わない,Interest in the world news,どちらかというとそう思う,Interest in pop music,そう思う,Interest in movies,そう思う
25,Device,コンピュータ（Windows）,Nationality,Vietnam,Submission by date,そう思う,Interest in English,そう思う,Interest in computers and the internet,そう思う,Proficiency in Excel,そう思う。,Interest in the world news,そう思う,Interest in pop music,どちらかというとそう思う,Interest in movies,そう思う
26,Device,コンピュータ（Mac）,Nationality,Nepal,Submission by date,そう思う,Interest in English,そう思う,Interest in computers and the internet,そう思う,Proficiency in Excel,どちらかというとそう思う。,Interest in the world news,そう思う,Interest in pop music,そう思う,Interest in movies,どちらかというとそう思う
27,Device,コンピュータ（Windows）,Nationality,Japan,Submission by date,そう思う,Interest in English,どちらかというとそう思う,Interest in computers and the internet,そう思う,Proficiency in Excel,どちらとも言えない。,Interest in the world news,そう思う,Interest in pop music,どちらともいえない,Interest in movies,どちらかというとそう思う
28,Device,スマートフォン（iPhone）,Nationality,Nepal,Submission by date,そう思う,Interest in English,そう思う,Interest in computers and the internet,そう思う,Proficiency in Excel,どちらかというとそう思う。,Interest in the world news,そう思う,Interest in pop music,どちらかというとそう思う,Interest in movies,そう思う
29,Device,コンピュータ（Mac）,Nationality,Japan,Submission by date,どちらかというとそう思う,Interest in English,どちらかというとそう思う,Interest in computers and the internet,そう思う,Proficiency in Excel,どちらかというとそう思わない,Interest in the world news,どちらかというとそう思う,Interest in pop music,どちらかというとそう思わない,Interest in movies,どちらともいえない
30,Device,スマートフォン（iPhone）,Nationality,Japan,Submission by date,どちらかというとそう思う,Interest in English,そう思う,Interest in computers and the internet,そう思う,Proficiency in Excel,どちらとも言えない。,Interest in the world news,そう思う,Interest in pop music,そう思う,Interest in movies,そう思う
31,Device,コンピュータ（Windows）,Nationality,Nepal,Submission by date,そう思う,Interest in English,そう思う,Interest in computers and the internet,そう思う,Proficiency in Excel,そう思う。,Interest in the world news,そう思う,Interest in pop music,そう思う,Interest in movies,そう思う
32,Device,スマートフォン（iPhone）,Nationality,Japan,Submission by date,そう思う,Interest in English,そう思う,Interest in computers and the internet,どちらかというとそう思う,Proficiency in Excel,どちらとも言えない。,Interest in the world news,そう思う,Interest in pop music,どちらかというとそう思う,Interest in movies,そう思う
33,Device,コンピュータ（Windows）,Nationality,Nepal,Submission by date,そう思う,Interest in English,そう思う,Interest in computers and the internet,そう思う,Proficiency in Excel,そう思う。,Interest in the world news,そう思う,Interest in pop music,どちらかというとそう思わない,Interest in movies,どちらともいえない
34,Device,スマートフォン（iPhone）,Nationality,Japan,Submission by date,どちらかというとそう思う,Interest in English,そう思う,Interest in computers and the internet,そう思う,Proficiency in Excel,どちらかというとそう思う。,Interest in the world news,どちらかというとそう思う,Interest in pop music,そう思う,Interest in movies,どちらともいえない
35,Device,スマートフォン（Android）,Nationality,Japan,Submission by date,そう思う,Interest in English,どちらかというとそう思う,Interest in computers and the internet,そう思う,Proficiency in Excel,どちらかというとそう思わない,Interest in the world news,どちらともいえない,Interest in pop music,そう思わない,Interest in movies,そう思わない
36,Device,スマートフォン（iPhone）,Nationality,Japan,Submission by date,そう思う,Interest in English,どちらかというとそう思う,Interest in computers and the internet,どちらかというとそう思う,Proficiency in Excel,どちらとも言えない。,Interest in the world news,どちらかというとそう思う,Interest in pop music,どちらかというとそう思う,Interest in movies,どちらかというとそう思う
37,Device,スマートフォン（iPhone）,Nationality,Nepal,Submission by date,そう思う,Interest in English,そう思う,Interest in computers and the internet,そう思う,Proficiency in Excel,そう思う。,Interest in the world news,そう思う,Interest in pop music,そう思う,Interest in movies,そう思う
38,Device,タブレット（Windows）,Nationality,Nepal,Submission by date,そう思う,Interest in English,そう思う,Interest in computers and the internet,そう思う,Proficiency in Excel,そう思う。,Interest in the world news,そう思う,Interest in pop music,どちらともいえない,Interest in movies,どちらともいえない
39,Device,コンピュータ（Windows）,Nationality,China,Submission by date,そう思う,Interest in English,そう思う,Interest in computers and the internet,そう思う,Proficiency in Excel,そう思う。,Interest in the world news,そう思う,Interest in pop music,どちらかというとそう思う,Interest in movies,そう思う
40,Device,スマートフォン（iPhone）,Nationality,Japan,Submission by date,そう思う,Interest in English,どちらともいえない,Interest in computers and the internet,どちらかというとそう思う,Proficiency in Excel,どちらとも言えない。,Interest in the world news,そう思う,Interest in pop music,どちらかというとそう思わない,Interest in movies,そう思う
41,Device,スマートフォン（iPhone）,Nationality,Japan,Submission by date,そう思う,Interest in English,どちらかというとそう思う,Interest in computers and the internet,そう思う,Proficiency in Excel,どちらかというとそう思う。,Interest in the world news,どちらかというとそう思う,Interest in pop music,どちらかというとそう思う,Interest in movies,どちらともいえない
42,Device,コンピュータ（Windows）,Nationality,Japan,Submission by date,どちらともいえない,Interest in English,どちらかというとそう思う,Interest in computers and the internet,どちらかというとそう思う,Proficiency in Excel,どちらかというとそう思わない,Interest in the world news,どちらともいえない,Interest in pop music,どちらかというとそう思わない,Interest in movies,どちらかというとそう思う
43,Device,スマートフォン（iPhone）,Nationality,Nepal,Submission by date,そう思う,Interest in English,どちらかというとそう思う,Interest in computers and the internet,そう思う,Proficiency in Excel,そう思う。,Interest in the world news,そう思う,Interest in pop music,どちらかというとそう思う,Interest in movies,そう思う
44,Device,コンピュータ（Mac）,Nationality,Vietnam,Submission by date,そう思う,Interest in English,そう思う,Interest in computers and the internet,そう思う,Proficiency in Excel,そう思う。,Interest in the world news,そう思う,Interest in pop music,そう思う,Interest in movies,そう思う
45,Device,コンピュータ（Windows）,Nationality,Japan,Submission by date,そう思う,Interest in English,そう思う,Interest in computers and the internet,そう思う,Proficiency in Excel,そう思う。,Interest in the world news,そう思う,Interest in pop music,どちらともいえない,Interest in movies,どちらかというとそう思う
46,Device,スマートフォン（iPhone）,Nationality,Nepal,Submission by date,そう思う,Interest in English,そう思う,Interest in computers and the internet,そう思う,Proficiency in Excel,そう思う。,Interest in the world news,そう思う,Interest in pop music,そう思う,Interest in movies,そう思う
47,Device,コンピュータ（Mac）,Nationality,Nepal,Submission by date,そう思う,Interest in English,そう思う,Interest in computers and the internet,そう思う,Proficiency in Excel,どちらとも言えない。,Interest in the world news,そう思う,Interest in pop music,どちらかというとそう思わない,Interest in movies,そう思う
48,Device,コンピュータ（Windows）,Nationality,Korea,Submission by date,そう思う,Interest in English,そう思う,Interest in computers and the internet,そう思う,Proficiency in Excel,そう思う。,Interest in the world news,どちらかというとそう思わない,Interest in pop music,そう思わない,Interest in movies,そう思う
49,Device,コンピュータ（Windows）,Nationality,Nepal,Submission by date,そう思う,Interest in English,そう思う,Interest in computers and the internet,そう思う,Proficiency in Excel,そう思う。,Interest in the world news,そう思う,Interest in pop music,そう思う,Interest in movies,そう思う
50,Device,コンピュータ（Windows）,Nationality,Japan,Submission by date,どちらかというとそう思わない,Interest in English,そう思う,Interest in computers and the internet,そう思う,Proficiency in Excel,そう思う。,Interest in the world news,そう思う,Interest in pop music,どちらともいえない,Interest in movies,そう思う
51,Device,スマートフォン（iPhone）,Nationality,Nepal,Submission by date,そう思う,Interest in English,そう思う,Interest in computers and the internet,そう思う,Proficiency in Excel,そう思う。,Interest in the world news,どちらかというとそう思う,Interest in pop music,どちらかというとそう思う,Interest in movies,どちらかというとそう思う
52,Device,コンピュータ（Linux）,Nationality,Japan,Submission by date,どちらともいえない,Interest in English,そう思う,Interest in computers and the internet,どちらともいえない,Proficiency in Excel,どちらとも言えない。,Interest in the world news,どちらかというとそう思う,Interest in pop music,どちらかというとそう思わない,Interest in movies,どちらかというとそう思う
